date,close,series
2016-12-01,19191.93,DJIA
2016-12-02,19170.42,DJIA
2016-12-05,19216.24,DJIA
2016-12-06,19251.78,DJIA
2016-12-07,19549.62,DJIA
2016-12-08,19614.81,DJIA
2016-12-09,19756.85,DJIA
2016-12-12,19796.43,DJIA
2016-12-13,19911.21,DJIA
2016-12-14,19792.53,DJIA
2016-12-15,19852.24,DJIA
2016-12-16,19843.41,DJIA
2016-12-19,19883.06,DJIA
2016-12-20,19974.62,DJIA
2016-12-21,19941.96,DJIA
2016-12-22,19918.88,DJIA
2016-12-23,19933.81,DJIA
2016-12-26,,DJIA
2016-12-27,19945.04,DJIA
2016-12-28,19833.68,DJIA
2016-12-29,19819.78,DJIA
2016-12-30,19762.6,DJIA
2017-01-02,,DJIA
2017-01-03,19881.76,DJIA
2017-01-04,19942.16,DJIA
2017-01-05,19899.29,DJIA
2017-01-06,19963.8,DJIA
2017-01-09,19887.38,DJIA
2017-01-10,19855.53,DJIA
2017-01-11,19954.28,DJIA
2017-01-12,19891.0,DJIA
2017-01-13,19885.73,DJIA
2017-01-16,,DJIA
2017-01-17,19826.77,DJIA
2017-01-18,19804.72,DJIA
2017-01-19,19732.4,DJIA
2017-01-20,19827.25,DJIA
2017-01-23,19799.85,DJIA
2017-01-24,19912.71,DJIA
2017-01-25,20068.51,DJIA
2017-01-26,20100.91,DJIA
2017-01-27,20093.78,DJIA
2017-01-30,19971.13,DJIA
2017-01-31,19864.09,DJIA
2017-02-01,19890.94,DJIA
2017-02-02,19884.91,DJIA
2017-02-03,20071.46,DJIA
2017-02-06,20052.42,DJIA
2017-02-07,20090.29,DJIA
2017-02-08,20054.34,DJIA
2017-02-09,20172.4,DJIA
2017-02-10,20269.37,DJIA
2017-02-13,20412.16,DJIA
2017-02-14,20504.41,DJIA
2017-02-15,20611.86,DJIA
2017-02-16,20619.77,DJIA
2017-02-17,20624.05,DJIA
2017-02-20,,DJIA
2017-02-21,20743.0,DJIA
2017-02-22,20775.6,DJIA
2017-02-23,20810.32,DJIA
2017-02-24,20821.76,DJIA
2017-02-27,20837.44,DJIA
2017-02-28,20812.24,DJIA
2017-03-01,21115.55,DJIA
2017-03-02,21002.97,DJIA
2017-03-03,21005.71,DJIA
2017-03-06,20954.34,DJIA
2017-03-07,20924.76,DJIA
2017-03-08,20855.73,DJIA
2017-03-09,20858.19,DJIA
2017-03-10,20902.98,DJIA
2017-03-13,20881.48,DJIA
2017-03-14,20837.37,DJIA
2017-03-15,20950.1,DJIA
2017-03-16,20934.55,DJIA
2017-03-17,20914.62,DJIA
2017-03-20,20905.86,DJIA
2017-03-21,20668.01,DJIA
2017-03-22,20661.3,DJIA
2017-03-23,20656.58,DJIA
2017-03-24,20596.72,DJIA
2017-03-27,20550.98,DJIA
2017-03-28,20701.5,DJIA
2017-03-29,20659.32,DJIA
2017-03-30,20728.49,DJIA
2017-03-31,20663.22,DJIA
2017-04-03,20650.21,DJIA
2017-04-04,20689.24,DJIA
2017-04-05,20648.15,DJIA
2017-04-06,20662.95,DJIA
2017-04-07,20656.1,DJIA
2017-04-10,20658.02,DJIA
2017-04-11,20651.3,DJIA
2017-04-12,20591.86,DJIA
2017-04-13,20453.25,DJIA
2017-04-14,,DJIA
2017-04-17,20636.92,DJIA
2017-04-18,20523.28,DJIA
2017-04-19,20404.49,DJIA
2017-04-20,20578.71,DJIA
2017-04-21,20547.76,DJIA
2017-04-24,20763.89,DJIA
2017-04-25,20996.12,DJIA
2017-04-26,20975.09,DJIA
2017-04-27,20981.33,DJIA
2017-04-28,20940.51,DJIA
2017-05-01,20913.46,DJIA
2017-05-02,20949.89,DJIA
2017-05-03,20957.9,DJIA
2017-05-04,20951.47,DJIA
2017-05-05,21006.94,DJIA
2017-05-08,21012.28,DJIA
2017-05-09,20975.78,DJIA
2017-05-10,20943.11,DJIA
2017-05-11,20919.42,DJIA
2017-05-12,20896.61,DJIA
2017-05-15,20981.94,DJIA
2017-05-16,20979.75,DJIA
2017-05-17,20606.93,DJIA
2017-05-18,20663.02,DJIA
2017-05-19,20804.84,DJIA
2017-05-22,20894.83,DJIA
2017-05-23,20937.91,DJIA
2017-05-24,21012.42,DJIA
2017-05-25,21082.95,DJIA
2017-05-26,21080.28,DJIA
2017-05-29,,DJIA
2017-05-30,21029.47,DJIA
2017-05-31,21008.65,DJIA
2017-06-01,21144.18,DJIA
2017-06-02,21206.29,DJIA
2017-06-05,21184.04,DJIA
2017-06-06,21136.23,DJIA
2017-06-07,21173.69,DJIA
2017-06-08,21182.53,DJIA
2017-06-09,21271.97,DJIA
2017-06-12,21235.67,DJIA
2017-06-13,21328.47,DJIA
2017-06-14,21374.56,DJIA
2017-06-15,21359.9,DJIA
2017-06-16,21384.28,DJIA
2017-06-19,21528.99,DJIA
2017-06-20,21467.14,DJIA
2017-06-21,21410.03,DJIA
2017-06-22,21397.29,DJIA
2017-06-23,21394.76,DJIA
2017-06-26,21409.55,DJIA
2017-06-27,21310.66,DJIA
2017-06-28,21454.61,DJIA
2017-06-29,21287.03,DJIA
2017-06-30,21349.63,DJIA
2017-07-03,21479.27,DJIA
2017-07-04,,DJIA
2017-07-05,21478.17,DJIA
2017-07-06,21320.04,DJIA
2017-07-07,21414.34,DJIA
2017-07-10,21408.52,DJIA
2017-07-11,21409.07,DJIA
2017-07-12,21532.14,DJIA
2017-07-13,21553.09,DJIA
2017-07-14,21637.74,DJIA
2017-07-17,21629.72,DJIA
2017-07-18,21574.73,DJIA
2017-07-19,21640.75,DJIA
2017-07-20,21611.78,DJIA
2017-07-21,21580.07,DJIA
2017-07-24,21513.17,DJIA
2017-07-25,21613.43,DJIA
2017-07-26,21711.01,DJIA
2017-07-27,21796.55,DJIA
2017-07-28,21830.31,DJIA
2017-07-31,21891.12,DJIA
2017-08-01,21963.92,DJIA
2017-08-02,22016.24,DJIA
2017-08-03,22026.1,DJIA
2017-08-04,22092.81,DJIA
2017-08-07,22118.42,DJIA
2017-08-08,22085.34,DJIA
2017-08-09,22048.7,DJIA
2017-08-10,21844.01,DJIA
2017-08-11,21858.32,DJIA
2017-08-14,21993.71,DJIA
2017-08-15,21998.99,DJIA
2017-08-16,22024.87,DJIA
2017-08-17,21750.73,DJIA
2017-08-18,21674.51,DJIA
2017-08-21,21703.75,DJIA
2017-08-22,21899.89,DJIA
2017-08-23,21812.09,DJIA
2017-08-24,21783.4,DJIA
2017-08-25,21813.67,DJIA
2017-08-28,21808.4,DJIA
2017-08-29,21865.37,DJIA
2017-08-30,21892.43,DJIA
2017-08-31,21948.1,DJIA
2017-09-01,21987.56,DJIA
2017-09-04,,DJIA
2017-09-05,21753.31,DJIA
2017-09-06,21807.64,DJIA
2017-09-07,21784.78,DJIA
2017-09-08,21797.79,DJIA
2017-09-11,22057.37,DJIA
2017-09-12,22118.86,DJIA
2017-09-13,22158.18,DJIA
2017-09-14,22203.48,DJIA
2017-09-15,22268.34,DJIA
2017-09-18,22331.35,DJIA
2017-09-19,22370.8,DJIA
2017-09-20,22412.59,DJIA
2017-09-21,22359.23,DJIA
2017-09-22,22349.59,DJIA
2017-09-25,22296.09,DJIA
2017-09-26,22284.32,DJIA
2017-09-27,22340.71,DJIA
2017-09-28,22381.2,DJIA
2017-09-29,22405.09,DJIA
2017-10-02,22557.6,DJIA
2017-10-03,22641.67,DJIA
2017-10-04,22661.64,DJIA
2017-10-05,22775.39,DJIA
2017-10-06,22773.67,DJIA
2017-10-09,22761.07,DJIA
2017-10-10,22830.68,DJIA
2017-10-11,22872.89,DJIA
2017-10-12,22841.01,DJIA
2017-10-13,22871.72,DJIA
2017-10-16,22956.96,DJIA
2017-10-17,22997.44,DJIA
2017-10-18,23157.6,DJIA
2017-10-19,23163.04,DJIA
2017-10-20,23328.63,DJIA
2017-10-23,23273.96,DJIA
2017-10-24,23441.76,DJIA
2017-10-25,23329.46,DJIA
2017-10-26,23400.86,DJIA
2017-10-27,23434.19,DJIA
2017-10-30,23348.74,DJIA
2017-10-31,23377.24,DJIA
2017-11-01,23435.01,DJIA
2017-11-02,23516.26,DJIA
2017-11-03,23539.19,DJIA
2017-11-06,23548.42,DJIA
2017-11-07,23557.23,DJIA
2017-11-08,23563.36,DJIA
2017-11-09,23461.94,DJIA
2017-11-10,23422.21,DJIA
2017-11-13,23439.7,DJIA
